organization_name,industry,size,region,energy_use_level,emissions_maturity,certifications,disclosure_level,goals,certifications_str,goals_str,target_stage,target_framework_slug,target_score
Synthetic Org #365,chemicals,50-250,apac,low,advanced,['iso-14001'],full,['stakeholder-trust'],iso-14001,stakeholder-trust,report,gri,77
Synthetic Org #366,technology,5000+,eu,low,basic,['iso-14001'],none,['sdg'],iso-14001,sdg,report,csrd,89
Synthetic Org #367,technology,50-250,apac,low,advanced,"['iso-45001', 'iso-50001', 'iso-14001']",full,['sbti'],"iso-45001,iso-50001,iso-14001",sbti,improve,sbti,92
Synthetic Org #368,construction,1-50,na,high,none,[],full,[],,,measure,ghg-protocol,93
Synthetic Org #369,consumer-goods,1000-5000,apac,very-high,none,['iso-14064'],partial,['stakeholder-trust'],iso-14064,stakeholder-trust,measure,ghg-protocol,98
Synthetic Org #370,consumer-goods,1-50,latam,very-high,advanced,"['iso-50001', 'iso-14001', 'iso-14064']",full,[],"iso-50001,iso-14001,iso-14064",,report,gri,80
Synthetic Org #371,manufacturing,250-1000,global,high,basic,[],none,['sbti'],,sbti,improve,sbti,94
Synthetic Org #372,consumer-goods,50-250,apac,low,advanced,['iso-14064'],none,[],iso-14064,,measure,ghg-protocol,77
Synthetic Org #373,consumer-goods,50-250,india,very-high,none,[],none,['sbti'],,sbti,measure,ghg-protocol,99
Synthetic Org #374,construction,1000-5000,apac,high,advanced,['iso-50001'],partial,[],iso-50001,,manage,iso-14001,92
Synthetic Org #375,manufacturing,1000-5000,india,very-high,none,['iso-14001'],none,"['net-zero', 'sdg']",iso-14001,"net-zero,sdg",improve,sbti,97
Synthetic Org #376,healthcare,1000-5000,eu,low,none,[],none,['net-zero'],,net-zero,report,csrd,95
Synthetic Org #377,agriculture,1-50,na,very-high,basic,"['iso-45001', 'iso-14001', 'iso-50001']",partial,['sdg'],"iso-45001,iso-14001,iso-50001",sdg,measure,ghg-protocol,91
Synthetic Org #378,consumer-goods,250-1000,eu,very-high,none,['iso-14064'],partial,['sbti'],iso-14064,sbti,measure,ghg-protocol,96
Synthetic Org #379,transport,5000+,global,moderate,advanced,[],full,[],,,manage,iso-14001,87
Synthetic Org #380,technology,5000+,uk,moderate,advanced,['iso-14064'],none,"['renewables', 'sbti', 'stakeholder-trust']",iso-14064,"renewables,sbti,stakeholder-trust",improve,sbti,90
Synthetic Org #381,transport,1-50,uk,low,advanced,"['iso-50001', 'iso-14001']",full,"['sbti', 'stakeholder-trust']","iso-50001,iso-14001","sbti,stakeholder-trust",improve,sbti,94
Synthetic Org #382,construction,50-250,eu,low,basic,"['iso-14064', 'iso-14001', 'iso-45001']",none,"['sdg', 'stakeholder-trust', 'renewables']","iso-14064,iso-14001,iso-45001","sdg,stakeholder-trust,renewables",report,csrd,89
Synthetic Org #383,energy,1-50,uk,very-high,advanced,['iso-14064'],partial,[],iso-14064,,manage,iso-14001,86
Synthetic Org #384,healthcare,5000+,india,very-high,none,[],partial,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,94
Synthetic Org #385,healthcare,5000+,latam,low,none,[],full,['stakeholder-trust'],,stakeholder-trust,measure,ghg-protocol,95
Synthetic Org #386,technology,1000-5000,na,very-high,advanced,"['iso-14064', 'iso-14001']",partial,['sdg'],"iso-14064,iso-14001",sdg,report,issb,82
Synthetic Org #387,consumer-goods,50-250,india,very-high,none,['iso-50001'],partial,[],iso-50001,,measure,ghg-protocol,99
Synthetic Org #388,agriculture,250-1000,na,low,basic,['iso-45001'],partial,"['net-zero', 'sbti']",iso-45001,"net-zero,sbti",improve,sbti,91
Synthetic Org #389,chemicals,250-1000,apac,very-high,basic,"['iso-14064', 'iso-45001', 'iso-14001']",partial,['renewables'],"iso-14064,iso-45001,iso-14001",renewables,measure,ghg-protocol,88
Synthetic Org #390,construction,1000-5000,apac,very-high,advanced,[],partial,"['sbti', 'net-zero', 'stakeholder-trust']",,"sbti,net-zero,stakeholder-trust",manage,iso-14001,93
Synthetic Org #391,financial,1000-5000,eu,low,none,[],none,[],,,measure,ghg-protocol,99
Synthetic Org #392,construction,1-50,uk,low,basic,[],full,['sdg'],,sdg,manage,iso-14001,89
Synthetic Org #393,agriculture,5000+,uk,low,advanced,[],none,['renewables'],,renewables,report,issb,82
Synthetic Org #394,healthcare,1000-5000,eu,very-high,advanced,['iso-45001'],full,['sdg'],iso-45001,sdg,report,csrd,89
Synthetic Org #395,energy,250-1000,global,very-high,none,"['iso-50001', 'iso-14001']",none,['sbti'],"iso-50001,iso-14001",sbti,improve,sbti,99
Synthetic Org #396,transport,1000-5000,india,low,advanced,['iso-50001'],none,['stakeholder-trust'],iso-50001,stakeholder-trust,manage,iso-14001,95
Synthetic Org #397,manufacturing,50-250,na,high,advanced,"['iso-45001', 'iso-50001', 'iso-14064']",full,['renewables'],"iso-45001,iso-50001,iso-14064",renewables,manage,iso-14001,87
Synthetic Org #398,transport,50-250,uk,high,advanced,"['iso-14064', 'iso-45001']",full,[],"iso-14064,iso-45001",,manage,iso-50001,86
Synthetic Org #399,manufacturing,5000+,apac,high,advanced,"['iso-45001', 'iso-50001']",full,[],"iso-45001,iso-50001",,manage,iso-14001,89
Synthetic Org #400,agriculture,1-50,na,high,advanced,['iso-45001'],partial,['sbti'],iso-45001,sbti,improve,sbti,94
Synthetic Org #401,chemicals,5000+,latam,moderate,none,['iso-45001'],full,['net-zero'],iso-45001,net-zero,measure,ghg-protocol,98
Synthetic Org #402,agriculture,250-1000,na,very-high,basic,"['iso-14001', 'iso-45001', 'iso-14064']",partial,['sbti'],"iso-14001,iso-45001,iso-14064",sbti,improve,sbti,98
Synthetic Org #403,financial,1000-5000,apac,high,advanced,[],partial,"['sbti', 'sdg', 'net-zero']",,"sbti,sdg,net-zero",improve,sbti,96
Synthetic Org #404,agriculture,50-250,apac,high,advanced,[],full,['net-zero'],,net-zero,improve,sbti,93
Synthetic Org #405,construction,250-1000,eu,high,basic,['iso-45001'],partial,"['sdg', 'renewables', 'net-zero']",iso-45001,"sdg,renewables,net-zero",improve,sbti,97
Synthetic Org #406,agriculture,1-50,latam,low,basic,"['iso-14001', 'iso-45001']",none,"['stakeholder-trust', 'sdg']","iso-14001,iso-45001","stakeholder-trust,sdg",measure,ghg-protocol,87
Synthetic Org #407,consumer-goods,1-50,latam,moderate,none,['iso-14064'],none,"['renewables', 'sbti', 'stakeholder-trust']",iso-14064,"renewables,sbti,stakeholder-trust",measure,ghg-protocol,95
Synthetic Org #408,chemicals,1-50,uk,high,advanced,['iso-14001'],none,[],iso-14001,,manage,iso-50001,83
Synthetic Org #409,agriculture,250-1000,eu,moderate,advanced,['iso-14001'],none,['stakeholder-trust'],iso-14001,stakeholder-trust,report,csrd,89
Synthetic Org #410,consumer-goods,1000-5000,uk,very-high,basic,[],partial,[],,,measure,ghg-protocol,86
Synthetic Org #411,financial,50-250,apac,high,none,"['iso-50001', 'iso-14001']",partial,[],"iso-50001,iso-14001",,measure,ghg-protocol,99
Synthetic Org #412,construction,50-250,apac,high,basic,[],none,"['stakeholder-trust', 'sdg']",,"stakeholder-trust,sdg",manage,iso-14001,83
Synthetic Org #413,chemicals,1-50,latam,low,basic,['iso-45001'],partial,"['sbti', 'sdg']",iso-45001,"sbti,sdg",improve,sbti,94
Synthetic Org #414,agriculture,250-1000,latam,moderate,none,[],partial,['sbti'],,sbti,measure,ghg-protocol,99
Synthetic Org #415,chemicals,50-250,apac,low,advanced,[],full,[],,,manage,iso-14001,83
Synthetic Org #416,technology,1-50,uk,high,advanced,[],full,"['net-zero', 'stakeholder-trust', 'sdg']",,"net-zero,stakeholder-trust,sdg",improve,sbti,92
Synthetic Org #417,manufacturing,1-50,apac,low,basic,['iso-14001'],partial,"['sdg', 'renewables', 'stakeholder-trust']",iso-14001,"sdg,renewables,stakeholder-trust",measure,ghg-protocol,89
Synthetic Org #418,chemicals,50-250,apac,low,basic,"['iso-14001', 'iso-45001', 'iso-50001']",partial,"['stakeholder-trust', 'sbti', 'renewables']","iso-14001,iso-45001,iso-50001","stakeholder-trust,sbti,renewables",improve,sbti,94
Synthetic Org #419,energy,5000+,apac,low,basic,[],none,"['sbti', 'stakeholder-trust']",,"sbti,stakeholder-trust",improve,sbti,98
Synthetic Org #420,transport,5000+,eu,high,advanced,['iso-50001'],partial,[],iso-50001,,report,csrd,96
Synthetic Org #421,financial,1000-5000,eu,very-high,basic,[],none,[],,,report,csrd,89
Synthetic Org #422,energy,1-50,latam,very-high,none,"['iso-14001', 'iso-45001']",none,[],"iso-14001,iso-45001",,measure,ghg-protocol,93
Synthetic Org #423,transport,50-250,uk,high,basic,[],partial,[],,,manage,iso-50001,85
Synthetic Org #424,chemicals,1-50,latam,high,basic,['iso-14064'],full,[],iso-14064,,manage,iso-14001,90
Synthetic Org #425,energy,1-50,global,moderate,advanced,[],full,['sdg'],,sdg,manage,iso-14001,87
Synthetic Org #426,agriculture,5000+,na,low,basic,[],partial,[],,,measure,ghg-protocol,93
Synthetic Org #427,consumer-goods,1000-5000,uk,high,basic,['iso-14064'],full,['net-zero'],iso-14064,net-zero,improve,sbti,93
Synthetic Org #428,chemicals,1-50,latam,moderate,none,"['iso-14064', 'iso-45001']",partial,"['sbti', 'renewables']","iso-14064,iso-45001","sbti,renewables",improve,sbti,99
Synthetic Org #429,technology,5000+,global,moderate,basic,[],partial,"['renewables', 'net-zero']",,"renewables,net-zero",improve,sbti,92
Synthetic Org #430,energy,250-1000,apac,high,none,"['iso-50001', 'iso-45001', 'iso-14064']",full,"['stakeholder-trust', 'net-zero', 'sbti']","iso-50001,iso-45001,iso-14064","stakeholder-trust,net-zero,sbti",improve,sbti,96
Synthetic Org #431,construction,1000-5000,na,very-high,none,"['iso-14001', 'iso-14064']",full,['stakeholder-trust'],"iso-14001,iso-14064",stakeholder-trust,measure,ghg-protocol,95
Synthetic Org #432,agriculture,1000-5000,latam,moderate,none,['iso-50001'],partial,['sdg'],iso-50001,sdg,measure,ghg-protocol,92
Synthetic Org #433,manufacturing,5000+,eu,very-high,basic,[],none,"['renewables', 'stakeholder-trust']",,"renewables,stakeholder-trust",report,csrd,93
Synthetic Org #434,energy,1000-5000,uk,high,none,"['iso-14001', 'iso-14064', 'iso-50001']",partial,"['net-zero', 'stakeholder-trust']","iso-14001,iso-14064,iso-50001","net-zero,stakeholder-trust",measure,ghg-protocol,99
Synthetic Org #435,energy,5000+,india,high,advanced,[],full,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",report,brsr,88
Synthetic Org #436,manufacturing,50-250,latam,very-high,basic,"['iso-14064', 'iso-45001']",full,['renewables'],"iso-14064,iso-45001",renewables,manage,iso-14001,88
Synthetic Org #437,energy,1-50,latam,moderate,none,['iso-45001'],partial,"['stakeholder-trust', 'sdg', 'renewables']",iso-45001,"stakeholder-trust,sdg,renewables",measure,ghg-protocol,90
Synthetic Org #438,energy,1-50,eu,very-high,none,"['iso-14064', 'iso-14001', 'iso-50001']",full,"['sbti', 'stakeholder-trust', 'net-zero']","iso-14064,iso-14001,iso-50001","sbti,stakeholder-trust,net-zero",improve,sbti,96
Synthetic Org #439,consumer-goods,50-250,uk,moderate,advanced,[],partial,"['net-zero', 'stakeholder-trust']",,"net-zero,stakeholder-trust",improve,sbti,99
Synthetic Org #440,agriculture,1000-5000,apac,moderate,basic,"['iso-14001', 'iso-45001']",none,"['stakeholder-trust', 'renewables']","iso-14001,iso-45001","stakeholder-trust,renewables",measure,ghg-protocol,85
Synthetic Org #441,financial,50-250,apac,moderate,advanced,[],none,"['stakeholder-trust', 'sdg']",,"stakeholder-trust,sdg",report,tcfd,71
Synthetic Org #442,financial,1000-5000,uk,moderate,basic,['iso-45001'],partial,"['sbti', 'stakeholder-trust']",iso-45001,"sbti,stakeholder-trust",improve,sbti,99
Synthetic Org #443,consumer-goods,5000+,apac,high,advanced,['iso-50001'],full,['sbti'],iso-50001,sbti,improve,sbti,93
Synthetic Org #444,healthcare,250-1000,apac,high,advanced,"['iso-50001', 'iso-45001', 'iso-14064']",none,[],"iso-50001,iso-45001,iso-14064",,improve,renewable-energy-plan,75
Synthetic Org #445,technology,5000+,uk,very-high,advanced,"['iso-45001', 'iso-50001']",full,[],"iso-45001,iso-50001",,report,issb,82
Synthetic Org #446,financial,1-50,global,very-high,none,"['iso-14001', 'iso-14064', 'iso-50001']",none,['sdg'],"iso-14001,iso-14064,iso-50001",sdg,measure,ghg-protocol,96
Synthetic Org #447,transport,50-250,latam,low,advanced,[],partial,"['net-zero', 'sdg', 'sbti']",,"net-zero,sdg,sbti",improve,sbti,98
Synthetic Org #448,energy,5000+,latam,moderate,advanced,"['iso-14064', 'iso-14001']",full,"['sdg', 'net-zero', 'sbti']","iso-14064,iso-14001","sdg,net-zero,sbti",improve,sbti,92
Synthetic Org #449,consumer-goods,1000-5000,latam,high,advanced,[],none,['sbti'],,sbti,improve,sbti,95
Synthetic Org #450,healthcare,1000-5000,latam,moderate,advanced,"['iso-45001', 'iso-14064', 'iso-14001']",full,['sdg'],"iso-45001,iso-14064,iso-14001",sdg,report,issb,82
Synthetic Org #451,agriculture,50-250,apac,low,none,"['iso-14001', 'iso-50001', 'iso-14064']",none,"['sdg', 'stakeholder-trust']","iso-14001,iso-50001,iso-14064","sdg,stakeholder-trust",measure,ghg-protocol,93
Synthetic Org #452,chemicals,50-250,india,high,none,['iso-50001'],partial,[],iso-50001,,measure,ghg-protocol,91
Synthetic Org #453,chemicals,250-1000,india,low,advanced,"['iso-45001', 'iso-50001', 'iso-14064']",full,[],"iso-45001,iso-50001,iso-14064",,report,brsr,89
Synthetic Org #454,technology,5000+,eu,moderate,advanced,"['iso-50001', 'iso-14064']",none,"['stakeholder-trust', 'renewables', 'net-zero']","iso-50001,iso-14064","stakeholder-trust,renewables,net-zero",improve,sbti,99
Synthetic Org #455,technology,50-250,eu,high,basic,['iso-50001'],partial,"['stakeholder-trust', 'renewables', 'sdg']",iso-50001,"stakeholder-trust,renewables,sdg",report,csrd,95
Synthetic Org #456,manufacturing,1-50,apac,high,basic,"['iso-50001', 'iso-14001', 'iso-14064']",none,"['net-zero', 'renewables']","iso-50001,iso-14001,iso-14064","net-zero,renewables",improve,sbti,92
Synthetic Org #457,transport,5000+,apac,high,none,['iso-14064'],full,"['net-zero', 'sdg']",iso-14064,"net-zero,sdg",measure,ghg-protocol,99
Synthetic Org #458,construction,250-1000,india,low,none,"['iso-14001', 'iso-45001']",none,[],"iso-14001,iso-45001",,measure,ghg-protocol,99
Synthetic Org #459,construction,50-250,latam,very-high,none,"['iso-14064', 'iso-45001']",none,[],"iso-14064,iso-45001",,measure,ghg-protocol,98
Synthetic Org #460,chemicals,1-50,uk,high,none,[],none,[],,,measure,ghg-protocol,92
Synthetic Org #461,chemicals,250-1000,india,low,advanced,['iso-14064'],none,"['renewables', 'stakeholder-trust']",iso-14064,"renewables,stakeholder-trust",report,brsr,88
Synthetic Org #462,consumer-goods,250-1000,global,very-high,advanced,"['iso-14001', 'iso-45001']",none,"['net-zero', 'stakeholder-trust', 'sdg']","iso-14001,iso-45001","net-zero,stakeholder-trust,sdg",improve,sbti,95
Synthetic Org #463,energy,250-1000,india,low,basic,['iso-14001'],full,['renewables'],iso-14001,renewables,report,brsr,92
Synthetic Org #464,consumer-goods,1000-5000,latam,low,basic,"['iso-50001', 'iso-14001']",none,"['stakeholder-trust', 'sdg']","iso-50001,iso-14001","stakeholder-trust,sdg",measure,ghg-protocol,88
Synthetic Org #465,chemicals,250-1000,apac,high,none,"['iso-50001', 'iso-14001']",full,[],"iso-50001,iso-14001",,measure,ghg-protocol,92
Synthetic Org #466,manufacturing,5000+,india,very-high,advanced,[],full,['sbti'],,sbti,manage,iso-14001,96
Synthetic Org #467,technology,50-250,uk,moderate,none,[],none,"['sdg', 'sbti', 'net-zero']",,"sdg,sbti,net-zero",improve,sbti,93
Synthetic Org #468,chemicals,5000+,latam,low,advanced,"['iso-14001', 'iso-50001', 'iso-14064']",partial,['net-zero'],"iso-14001,iso-50001,iso-14064",net-zero,improve,sbti,93
Synthetic Org #469,construction,5000+,uk,high,basic,"['iso-50001', 'iso-14001', 'iso-14064']",none,"['net-zero', 'sbti', 'renewables']","iso-50001,iso-14001,iso-14064","net-zero,sbti,renewables",improve,sbti,99
Synthetic Org #470,agriculture,1000-5000,na,high,advanced,[],full,"['stakeholder-trust', 'sdg', 'sbti']",,"stakeholder-trust,sdg,sbti",improve,sbti,99
Synthetic Org #471,consumer-goods,50-250,global,high,none,"['iso-14064', 'iso-50001', 'iso-45001']",none,['sdg'],"iso-14064,iso-50001,iso-45001",sdg,measure,ghg-protocol,97
Synthetic Org #472,agriculture,1000-5000,uk,high,basic,"['iso-14001', 'iso-14064']",partial,"['net-zero', 'sdg', 'stakeholder-trust']","iso-14001,iso-14064","net-zero,sdg,stakeholder-trust",improve,sbti,96
Synthetic Org #473,financial,50-250,na,low,advanced,[],none,"['net-zero', 'renewables', 'sdg']",,"net-zero,renewables,sdg",improve,sbti,95
Synthetic Org #474,construction,1-50,india,high,advanced,['iso-50001'],full,['renewables'],iso-50001,renewables,report,brsr,90
Synthetic Org #475,construction,5000+,apac,high,none,"['iso-14001', 'iso-50001']",partial,['stakeholder-trust'],"iso-14001,iso-50001",stakeholder-trust,measure,ghg-protocol,98
Synthetic Org #476,manufacturing,50-250,latam,moderate,advanced,['iso-50001'],none,['stakeholder-trust'],iso-50001,stakeholder-trust,manage,iso-14001,85
Synthetic Org #477,healthcare,50-250,apac,very-high,basic,[],none,"['sbti', 'net-zero']",,"sbti,net-zero",measure,ghg-protocol,89
Synthetic Org #478,transport,250-1000,eu,low,advanced,"['iso-45001', 'iso-50001']",none,"['renewables', 'net-zero']","iso-45001,iso-50001","renewables,net-zero",improve,sbti,97
Synthetic Org #479,manufacturing,250-1000,global,high,advanced,"['iso-50001', 'iso-14064']",partial,"['sdg', 'net-zero']","iso-50001,iso-14064","sdg,net-zero",improve,sbti,98
Synthetic Org #480,financial,250-1000,uk,moderate,advanced,['iso-45001'],partial,"['renewables', 'net-zero']",iso-45001,"renewables,net-zero",improve,sbti,93
Synthetic Org #481,financial,50-250,uk,moderate,none,"['iso-45001', 'iso-14001']",none,['sbti'],"iso-45001,iso-14001",sbti,measure,ghg-protocol,99
Synthetic Org #482,chemicals,250-1000,india,low,advanced,['iso-45001'],none,[],iso-45001,,report,brsr,89
Synthetic Org #483,agriculture,1000-5000,uk,moderate,advanced,"['iso-14064', 'iso-14001', 'iso-45001']",none,[],"iso-14064,iso-14001,iso-45001",,report,issb,78
Synthetic Org #484,chemicals,5000+,india,moderate,none,"['iso-14001', 'iso-45001']",full,['net-zero'],"iso-14001,iso-45001",net-zero,measure,ghg-protocol,97
Synthetic Org #485,chemicals,250-1000,eu,very-high,advanced,"['iso-14001', 'iso-45001', 'iso-50001']",full,[],"iso-14001,iso-45001,iso-50001",,report,csrd,94
Synthetic Org #486,construction,1000-5000,india,very-high,basic,[],none,"['stakeholder-trust', 'sbti']",,"stakeholder-trust,sbti",manage,iso-14001,95
Synthetic Org #487,healthcare,50-250,india,high,none,"['iso-45001', 'iso-50001', 'iso-14001']",full,['renewables'],"iso-45001,iso-50001,iso-14001",renewables,measure,ghg-protocol,93
Synthetic Org #488,consumer-goods,50-250,global,low,none,"['iso-14064', 'iso-14001']",full,"['net-zero', 'sbti', 'renewables']","iso-14064,iso-14001","net-zero,sbti,renewables",measure,ghg-protocol,99
Synthetic Org #489,healthcare,5000+,global,low,none,"['iso-50001', 'iso-45001', 'iso-14001']",partial,"['stakeholder-trust', 'renewables']","iso-50001,iso-45001,iso-14001","stakeholder-trust,renewables",measure,ghg-protocol,95
Synthetic Org #490,technology,1-50,apac,very-high,none,['iso-45001'],partial,"['stakeholder-trust', 'net-zero', 'sbti']",iso-45001,"stakeholder-trust,net-zero,sbti",improve,sbti,96
Synthetic Org #491,chemicals,250-1000,uk,moderate,none,"['iso-14064', 'iso-50001']",partial,['net-zero'],"iso-14064,iso-50001",net-zero,improve,sbti,95
Synthetic Org #492,manufacturing,5000+,india,low,advanced,['iso-50001'],none,['renewables'],iso-50001,renewables,manage,iso-14001,87
Synthetic Org #493,technology,1-50,eu,very-high,advanced,['iso-45001'],full,"['renewables', 'sdg', 'stakeholder-trust']",iso-45001,"renewables,sdg,stakeholder-trust",report,csrd,88
Synthetic Org #494,transport,1000-5000,latam,moderate,basic,"['iso-14064', 'iso-14001']",full,['stakeholder-trust'],"iso-14064,iso-14001",stakeholder-trust,measure,ghg-protocol,91
Synthetic Org #495,financial,1000-5000,na,high,advanced,"['iso-14064', 'iso-45001', 'iso-14001']",partial,[],"iso-14064,iso-45001,iso-14001",,report,issb,84
Synthetic Org #496,construction,1000-5000,latam,moderate,none,"['iso-14064', 'iso-50001']",none,"['stakeholder-trust', 'net-zero', 'renewables']","iso-14064,iso-50001","stakeholder-trust,net-zero,renewables",measure,ghg-protocol,99
Synthetic Org #497,consumer-goods,1-50,latam,low,none,"['iso-14064', 'iso-14001']",partial,[],"iso-14064,iso-14001",,measure,ghg-protocol,95
Synthetic Org #498,transport,50-250,na,low,advanced,"['iso-14064', 'iso-50001', 'iso-45001']",none,"['net-zero', 'sbti', 'sdg']","iso-14064,iso-50001,iso-45001","net-zero,sbti,sdg",improve,sbti,92
Synthetic Org #499,agriculture,1000-5000,global,moderate,advanced,['iso-50001'],full,[],iso-50001,,report,issb,83
Synthetic Org #500,healthcare,5000+,india,moderate,advanced,"['iso-14001', 'iso-50001', 'iso-14064']",none,[],"iso-14001,iso-50001,iso-14064",,report,brsr,93
Synthetic Org #501,chemicals,1-50,na,very-high,basic,['iso-14064'],full,"['sbti', 'net-zero', 'sdg']",iso-14064,"sbti,net-zero,sdg",improve,sbti,94
Synthetic Org #502,energy,1-50,india,high,advanced,"['iso-45001', 'iso-50001']",full,['sbti'],"iso-45001,iso-50001",sbti,report,brsr,90
Synthetic Org #503,healthcare,50-250,uk,very-high,advanced,['iso-50001'],none,"['stakeholder-trust', 'net-zero']",iso-50001,"stakeholder-trust,net-zero",improve,sbti,97
Synthetic Org #504,financial,1-50,india,high,basic,"['iso-45001', 'iso-14064']",none,"['sdg', 'renewables', 'sbti']","iso-45001,iso-14064","sdg,renewables,sbti",improve,sbti,94
Synthetic Org #505,healthcare,1000-5000,latam,moderate,basic,"['iso-14064', 'iso-45001', 'iso-14001']",partial,"['net-zero', 'sdg']","iso-14064,iso-45001,iso-14001","net-zero,sdg",improve,sbti,94
Synthetic Org #506,energy,1000-5000,apac,moderate,advanced,[],full,['renewables'],,renewables,manage,iso-14001,89
Synthetic Org #507,technology,5000+,india,low,advanced,[],partial,['net-zero'],,net-zero,improve,sbti,97
Synthetic Org #508,consumer-goods,250-1000,global,moderate,basic,['iso-50001'],partial,"['sdg', 'sbti', 'stakeholder-trust']",iso-50001,"sdg,sbti,stakeholder-trust",improve,sbti,93
Synthetic Org #509,construction,1000-5000,apac,moderate,none,[],full,['sbti'],,sbti,measure,ghg-protocol,98
Synthetic Org #510,construction,50-250,latam,moderate,advanced,[],partial,[],,,manage,iso-14001,88
Synthetic Org #511,energy,1-50,apac,very-high,advanced,"['iso-14001', 'iso-50001']",none,['stakeholder-trust'],"iso-14001,iso-50001",stakeholder-trust,improve,renewable-energy-plan,79
Synthetic Org #512,technology,1000-5000,india,high,basic,"['iso-45001', 'iso-50001']",none,['stakeholder-trust'],"iso-45001,iso-50001",stakeholder-trust,measure,ghg-protocol,87
Synthetic Org #513,chemicals,1-50,india,very-high,basic,[],full,"['sdg', 'renewables', 'stakeholder-trust']",,"sdg,renewables,stakeholder-trust",report,brsr,94
Synthetic Org #514,chemicals,1000-5000,global,very-high,basic,[],full,[],,,measure,ghg-protocol,90
Synthetic Org #515,construction,1000-5000,india,low,basic,"['iso-45001', 'iso-14001']",partial,"['sdg', 'sbti', 'renewables']","iso-45001,iso-14001","sdg,sbti,renewables",improve,sbti,97
Synthetic Org #516,agriculture,5000+,na,high,none,['iso-50001'],partial,"['sdg', 'stakeholder-trust']",iso-50001,"sdg,stakeholder-trust",measure,ghg-protocol,99
Synthetic Org #517,consumer-goods,250-1000,uk,moderate,advanced,"['iso-50001', 'iso-14001']",none,['sbti'],"iso-50001,iso-14001",sbti,improve,sbti,92
Synthetic Org #518,financial,1000-5000,latam,very-high,none,"['iso-50001', 'iso-14064', 'iso-14001']",none,['renewables'],"iso-50001,iso-14064,iso-14001",renewables,measure,ghg-protocol,97
Synthetic Org #519,agriculture,50-250,latam,high,basic,['iso-14001'],partial,"['net-zero', 'sbti']",iso-14001,"net-zero,sbti",improve,sbti,98
Synthetic Org #520,manufacturing,50-250,latam,high,basic,[],full,"['sdg', 'stakeholder-trust']",,"sdg,stakeholder-trust",measure,ghg-protocol,94
Synthetic Org #521,technology,250-1000,india,high,basic,['iso-14001'],none,['stakeholder-trust'],iso-14001,stakeholder-trust,measure,ghg-protocol,93
Synthetic Org #522,construction,5000+,india,moderate,basic,['iso-14064'],partial,"['net-zero', 'renewables']",iso-14064,"net-zero,renewables",improve,sbti,96
Synthetic Org #523,healthcare,250-1000,uk,moderate,none,['iso-14064'],full,"['stakeholder-trust', 'renewables', 'net-zero']",iso-14064,"stakeholder-trust,renewables,net-zero",measure,ghg-protocol,99
Synthetic Org #524,energy,50-250,na,moderate,basic,"['iso-45001', 'iso-14064', 'iso-50001']",partial,"['renewables', 'sdg', 'sbti']","iso-45001,iso-14064,iso-50001","renewables,sdg,sbti",improve,sbti,94
Synthetic Org #525,technology,5000+,india,very-high,basic,[],none,[],,,measure,ghg-protocol,89
Synthetic Org #526,chemicals,50-250,apac,high,advanced,"['iso-14001', 'iso-14064', 'iso-45001']",full,"['net-zero', 'stakeholder-trust']","iso-14001,iso-14064,iso-45001","net-zero,stakeholder-trust",improve,sbti,91
Synthetic Org #527,energy,1000-5000,india,low,none,"['iso-14001', 'iso-14064']",partial,['stakeholder-trust'],"iso-14001,iso-14064",stakeholder-trust,measure,ghg-protocol,94
Synthetic Org #528,chemicals,1-50,apac,very-high,basic,[],none,['renewables'],,renewables,measure,ghg-protocol,88
Synthetic Org #529,chemicals,50-250,india,moderate,none,"['iso-45001', 'iso-50001', 'iso-14064']",none,"['stakeholder-trust', 'sdg']","iso-45001,iso-50001,iso-14064","stakeholder-trust,sdg",measure,ghg-protocol,97
Synthetic Org #530,financial,1000-5000,eu,moderate,advanced,['iso-14064'],full,"['stakeholder-trust', 'sdg', 'sbti']",iso-14064,"stakeholder-trust,sdg,sbti",improve,sbti,94
Synthetic Org #531,agriculture,5000+,eu,low,basic,['iso-14064'],partial,['sbti'],iso-14064,sbti,report,csrd,94
Synthetic Org #532,transport,1-50,global,moderate,basic,['iso-14001'],partial,"['renewables', 'sdg']",iso-14001,"renewables,sdg",measure,ghg-protocol,91
Synthetic Org #533,manufacturing,1000-5000,latam,high,advanced,[],none,"['sdg', 'sbti', 'renewables']",,"sdg,sbti,renewables",manage,iso-14001,92
Synthetic Org #534,financial,1000-5000,uk,moderate,none,"['iso-14064', 'iso-50001', 'iso-14001']",full,['net-zero'],"iso-14064,iso-50001,iso-14001",net-zero,improve,sbti,93
Synthetic Org #535,consumer-goods,50-250,india,high,basic,"['iso-45001', 'iso-50001', 'iso-14001']",full,[],"iso-45001,iso-50001,iso-14001",,measure,ghg-protocol,92
Synthetic Org #536,chemicals,50-250,na,low,advanced,"['iso-14064', 'iso-50001']",partial,"['renewables', 'sbti', 'stakeholder-trust']","iso-14064,iso-50001","renewables,sbti,stakeholder-trust",improve,sbti,95
Synthetic Org #537,manufacturing,50-250,global,low,none,['iso-45001'],none,['renewables'],iso-45001,renewables,measure,ghg-protocol,97
Synthetic Org #538,manufacturing,50-250,global,moderate,none,[],partial,['renewables'],,renewables,measure,ghg-protocol,95
